row_index,id,prompt_index,sample_index,category,failure_reason,reward,answer,parsed_answer,boxed_answer_count,boxed_answers,normalized_boxed_answers,completion_length,estimated_token_count,reached_max_new_tokens,truncation_estimate_source,completion_excerpt
9,gsm8k-train-000001,1,0,parser_too_strict,boxed_not_final_only,0.0,10,,1,10,10,322,101,False,char_length_heuristic,"To find out how much Weng earned, we need to calculate her earnings for 50 minutes at a rate of $12 per hour.  First, convert 50 minutes to hours: $$ 50 \text{ minutes} = \frac{50}{60} = \frac{5}{6} \text{ hours} $$  Now, multiply by her hourly rate: $$ \frac{5}{6} \times 12 = 10 $$  So, Weng earned $\boxed{10}$ dollars."
13,gsm8k-train-000001,1,4,parser_too_strict,boxed_not_final_only,0.0,10,,1,10,10,250,79,False,char_length_heuristic,"To find out how much Weng earned, we first convert 50 minutes to hours:  $$ 50 \text{ minutes} = \frac{50}{60} = \frac{5}{6} \text{ hours} $$  Then, multiply by her hourly rate:  $$ \frac{5}{6} \times 12 = 10 $$  So, Weng earned $\boxed{10}$ dollars."
15,gsm8k-train-000001,1,6,parser_too_strict,boxed_not_final_only,0.0,10,,1,10,10,249,78,False,char_length_heuristic,"To find out how much Weng earned, we first convert 50 minutes to hours:  $$ 50 \text{ minutes} = \frac{50}{60} = \frac{5}{6} \text{ hours} $$  Then multiply by her hourly rate:  $$ \frac{5}{6} \times 12 = 10 $$  So, Weng earned $\boxed{10}$ dollars."
16,gsm8k-train-000001,1,7,parser_too_strict,boxed_not_final_only,0.0,10,,1,10,10,263,83,False,char_length_heuristic,"To find out how much Weng earned, we first convert 50 minutes to hours:  $$ 50 \text{ minutes} = \frac{50}{60} \text{ hours} = \frac{5}{6} \text{ hours} $$  Then multiply by her hourly rate:  $$ \frac{5}{6} \times 12 = 10 $$  So, Weng earned $\boxed{10}$ dollars."
32,gsm8k-train-000003,3,7,parser_too_strict,boxed_not_final_only,0.0,42,,1,42,42,323,101,False,char_length_heuristic,"To solve the problem:  1. Total pages in the book: 120   2. Pages read yesterday: 12   3. Pages read today: $ 2 \times 12 = 24 $   4. Total pages read so far: $ 12 + 24 = 36 $   5. Remaining pages: $ 120 - 36 = 84 $   6. Half of the remaining pages: $ \frac{84}{2} = 42 $  So, Julie should read $\boxed{42}$ pages tomorrow."
33,gsm8k-train-000004,4,0,truncated_before_final,no_boxed_answer,0.0,624,,0,,,400,125,True,char_length_heuristic,"To find out how many pages James writes in a year, we can break it down step by step:  1. James writes a **3-page letter** to **2 different friends**. 2. He does this **twice a week**. 3. There are **52 weeks** in a year.  So, the total number of pages he writes in a year is:  $$ 3 \text{ pages} \times 2 \text{ friends} \times 2 \text{ times/week} \times 52 \text{ weeks} = 624 \text{ pages} $$  $$"
34,gsm8k-train-000004,4,1,truncated_before_final,no_boxed_answer,0.0,624,,0,,,404,127,True,char_length_heuristic,"To find how many pages James writes in a year, we break it down step by step:  - He writes a **3-page letter** to **2 different friends**. - He does this **twice a week**. - There are **52 weeks** in a year.  So, the total number of pages per week is:  $$ 3 \text{ pages} \times 2 \text{ friends} \times 2 \text{ times/week} = 12 \text{ pages/week} $$  Then, for the whole year:  $$ 12 \text{ pages/week}"
35,gsm8k-train-000004,4,2,truncated_before_final,no_boxed_answer,0.0,624,,0,,,400,125,True,char_length_heuristic,"To find how many pages James writes in a year, we break it down step by step:  - He writes a **3-page letter** to **2 different friends**. - He does this **twice a week**. - There are **52 weeks** in a year.  So, the total number of pages per week is: $$ 3 \text{ pages/letter} \times 2 \text{ friends} \times 2 \text{ times/week} = 12 \text{ pages/week} $$  Then, for a year: $$ 12 \text{ pages/week"
36,gsm8k-train-000004,4,3,malformed_boxed,malformed_boxed_answer,0.0,624,,0,,,349,110,False,char_length_heuristic,"To find how many pages James writes in a year:  - He writes a 3-page letter to 2 friends **twice a week**. - So, per week: $ 3 \text{ pages} \times 2 \text{ friends} \times 2 \text{ times} = 12 \text{ pages} $. - There are 52 weeks in a year. - Total pages per year: $ 12 \text{ pages/week} \times 52 \text{ weeks} = 624 \text{ pages} $.  $$ \boxed{"
38,gsm8k-train-000004,4,5,truncated_before_final,no_boxed_answer,0.0,624,,0,,,404,127,True,char_length_heuristic,"To find how many pages James writes in a year, we can break it down step by step:  - He writes a **3-page letter** to **2 different friends**. - He does this **twice a week**.  So, per week: - Pages per friend: 3 - Number of friends: 2 - Total pages per week: $ 3 \times 2 = 6 $ pages  He does this **twice a week**, so: - Total pages per week: $ 6 \times 2 = 12 $ pages  There are **52 weeks** in a year"
42,gsm8k-train-000005,5,1,final_answer_unboxed,no_boxed_answer,0.0,35,,0,,,314,99,False,char_length_heuristic,"To solve the problem, we break it down step by step:  1. **Yellow flowers**: 10 2. **Purple flowers**: 80% more than yellow      $ 10 + 0.8 \times 10 = 10 + 8 = 18 $      So, 18 purple flowers.  3. **Green flowers**: 25% as many as yellow and purple combined      $ 10 + 18 = 28 $      $ 25\% \text{ of } 28 = 0.25"
43,gsm8k-train-000005,5,2,final_answer_unboxed,no_boxed_answer,0.0,35,,0,,,317,100,False,char_length_heuristic,"To solve the problem, we break it down step by step:  - **Yellow flowers**: 10 - **Purple flowers**: 80% more than yellow     $$   10 + 0.8 \times 10 = 10 + 8 = 18   $$ - **Green flowers**: 25% as many as yellow and purple combined     $$   \text{Yellow + Purple} = 10 + 18 = 28 \\   \text{Green} = 0.25 \times 28 = 7"
44,gsm8k-train-000005,5,3,final_answer_unboxed,no_boxed_answer,0.0,35,,0,,,344,108,False,char_length_heuristic,"To solve the problem, we'll calculate the number of flowers for each color and then add them up.  - Yellow flowers: 10   - Purple flowers: 80% more than yellow = $10 + 0.8 \times 10 = 18$   - Green flowers: 25% as many as yellow and purple combined = $0.25 \times (10 + 18) = 0.25 \times 28 = 7$  Now, add them all together:   $10 + 18 + 7 = 35"
45,gsm8k-train-000005,5,4,no_boxed_answer,no_boxed_answer,0.0,35,,0,,,364,114,False,char_length_heuristic,"To solve the problem, we need to find the total number of flowers in Mark's garden.  1. **Yellow flowers**: 10   2. **Purple flowers**: 80% more than yellow = $ 10 + 0.8 \times 10 = 18 $   3. **Green flowers**: 25% as many as yellow and purple combined.      - Yellow + Purple = $ 10 + 18 = 28 $      - Green = $ 0.25 \times 28 = 7 $  Now, total flowers = Yellow +"
47,gsm8k-train-000005,5,6,final_answer_unboxed,no_boxed_answer,0.0,35,,0,,,314,99,False,char_length_heuristic,"To solve the problem, we break it down step by step:  - **Yellow flowers**: 10 - **Purple flowers**: 80% more than yellow     $ 10 + (0.8 \times 10) = 10 + 8 = 18 $  - **Green flowers**: 25% as many as yellow and purple combined     $ \text{Yellow} + \text{Purple} = 10 + 18 = 28 $     $ 25\% \text{ of } 28 = 0.25"
48,gsm8k-train-000005,5,7,final_answer_unboxed,no_boxed_answer,0.0,35,,0,,,380,119,False,char_length_heuristic,"To solve the problem, we need to find the total number of flowers in Mark's garden by adding up the number of yellow, purple, and green flowers.  1. **Yellow flowers:** 10   2. **Purple flowers:** 80% more than yellow      $$    10 + 0.8 \times 10 = 10 + 8 = 18    $$  3. **Green flowers:** 25% as many as yellow and purple combined      $$    \text{Yellow + Purple} = 10 + 18 = 2"
57,gsm8k-train-000007,7,0,truncated_before_final,no_boxed_answer,0.0,16,,0,,,419,131,True,char_length_heuristic,Let's break down the problem step by step.  1. **Start with a box on a scale.** 2. **Add enough jelly beans to bring the weight to 2 pounds.**      - Weight = 2 pounds.  3. **Add enough brownies to cause the weight to triple.**      - Triple of 2 pounds = $ 2 \times 3 = 6 $ pounds.  4. **Add another 2 pounds of jelly beans.**      - New weight = $ 6 + 2 = 8 $ pounds.  5. **Add enough gummy worms to double the weight
58,gsm8k-train-000007,7,1,truncated_before_final,no_boxed_answer,0.0,16,,0,,,406,127,True,char_length_heuristic,"Let's break down the problem step by step:  1. **Start with a box on a scale.**      - Ken adds **2 pounds of jelly beans**, so the weight is **2 pounds**.  2. **He adds enough brownies to **triple** the weight.**      - Tripling 2 pounds gives:        $ 2 \times 3 = 6 $ pounds.  3. **He adds another **2 pounds of jelly beans**.**      - Adding 2 pounds to 6 pounds gives:        $ 6 + 2 = 8 $ pounds.  4"
60,gsm8k-train-000007,7,3,truncated_before_final,no_boxed_answer,0.0,16,,0,,,426,134,True,char_length_heuristic,"Let's break down the problem step by step:  1. Ken starts with a box on a scale. 2. He adds **2 pounds of jelly beans**, so the weight is **2 pounds**. 3. Then he adds **enough brownies to triple** the weight.      Triple of 2 pounds is $ 2 \times 3 = 6 $ pounds. 4. Next, he adds **another 2 pounds of jelly beans**, so the weight becomes $ 6 + 2 = 8 $ pounds. 5. Finally, he adds **enough gummy worms to double** the weight."
61,gsm8k-train-000007,7,4,truncated_before_final,no_boxed_answer,0.0,16,,0,,,406,127,True,char_length_heuristic,Let's track the weight step by step.  1. Ken starts with a box on a scale. 2. He adds enough jelly beans to bring the weight to **2 pounds**. 3. He adds enough brownies to **tripple** the weight:      $ 2 \times 3 = 6 $ pounds. 4. He adds another **2 pounds of jelly beans**:      $ 6 + 2 = 8 $ pounds. 5. He adds enough gummy worms to **double** the weight:      $ 8 \times 2 = 16 $ pounds.  Final weight:
62,gsm8k-train-000007,7,5,truncated_before_final,no_boxed_answer,0.0,16,,0,,,483,151,True,char_length_heuristic,"We are given a series of steps involving adding different items to a box and tracking the weight changes. Let's follow each step carefully.  1. **Start with a box on a scale.**      - Initial weight: 0 pounds (assumed, as no weight is given initially).  2. **Pour enough jelly beans to bring the weight to 2 pounds.**      - Weight = 2 pounds.  3. **Add enough brownies to cause the weight to triple.**      - New weight = 2 × 3 = 6 pounds.  4. **Add another 2 pounds of jelly beans."
63,gsm8k-train-000007,7,6,truncated_before_final,no_boxed_answer,0.0,16,,0,,,396,124,True,char_length_heuristic,Let's break down the problem step by step:  1. **Start with a box on a scale.** 2. **Add jelly beans to bring the weight to 2 pounds.**      - Weight = 2 pounds. 3. **Add brownies to triple the weight.**      - New weight = 2 × 3 = 6 pounds. 4. **Add another 2 pounds of jelly beans.**      - New weight = 6 + 2 = 8 pounds. 5. **Add gummy worms to double the weight.**      - Final weight = 8 × 2
64,gsm8k-train-000007,7,7,truncated_before_final,malformed_boxed_answer,0.0,16,,0,,,390,122,True,char_length_heuristic,"Let's break down the problem step by step:  1. **Start with a box on a scale.** 2. **Add jelly beans to bring the weight to 2 pounds.** 3. **Add brownies, causing the weight to triple.**    - $ 2 \times 3 = 6 $ pounds. 4. **Add another 2 pounds of jelly beans.**    - $ 6 + 2 = 8 $ pounds. 5. **Add gummy worms to double the weight.**    - $ 8 \times 2 = 16 $ pounds.  Final weight: $\boxed"
65,gsm8k-train-000008,8,0,truncated_before_final,no_boxed_answer,0.0,41,,0,,,391,123,True,char_length_heuristic,"Let's calculate the total amount Alexis spent on items she bought, excluding the shoes, and subtract that from her original budget to find the cost of the shoes.  - Shirt: $30   - Suit pants: $46   - Suit coat: $38   - Socks: $11   - Belt: $18    Total spent on these items:   $30 + $46 + $38 + $11 + $18 = $143    Original budget: $200   Amount left: $16    Amount spent on shoes = $200 - $"
66,gsm8k-train-000008,8,1,no_boxed_answer,no_boxed_answer,0.0,41,,0,,,280,88,False,char_length_heuristic,"We start with a budget of $200 and end with $16 left, so the total amount spent is:  $$ 200 - 16 = 184 $$  Now we add up the known expenses:  $$ 30 + 46 + 38 + 11 + 18 = 143 $$  Let $ x $ be the cost of the shoes. Then:  $$ 143 + x = 184 $$  Solving for $ x $:  $$ x = 184 - 143 ="
67,gsm8k-train-000008,8,2,no_boxed_answer,no_boxed_answer,0.0,41,,0,,,317,100,False,char_length_heuristic,"We start with a total budget of $200. Alexis has $16 left, so she spent:  $$ 200 - 16 = 184 $$  Now we subtract the costs of the items she bought:  - Button-up shirt: $30   - Suit pants: $46   - Suit coat: $38   - Socks: $11   - Belt: $18    Adding these:  $$ 30 + 46 + 38 + 11 + 18 = 143 $$  So the cost of the shoes"
68,gsm8k-train-000008,8,3,no_boxed_answer,no_boxed_answer,0.0,41,,0,,,358,112,False,char_length_heuristic,"Let's calculate how much Alexis spent on the items she bought, excluding the shoes.  - Button-up shirt: $30   - Suit pants: $46   - Suit coat: $38   - Socks: $11   - Belt: $18    Total spent on these items:   $30 + $46 + $38 + $11 + $18 = $143    Alexis started with a budget of $200 and has $16 left.   So, the amount she spent on the shoes is:   $200 - $16"
69,gsm8k-train-000008,8,4,truncated_before_final,no_boxed_answer,0.0,41,,0,,,424,133,True,char_length_heuristic,"Let's calculate how much Alexis spent on the items she bought, excluding the shoes, and then determine how much she spent on the shoes based on her remaining budget.  Total budget: $200   Remaining money: $16    Money spent on other items:   $30 (shirt) + $46 (pants) + $38 (coat) + $11 (socks) + $18 (belt) = $143    Money spent on shoes = Total budget - Money spent on other items - Remaining money   = $200 - $143 - $16 ="
70,gsm8k-train-000008,8,5,no_boxed_answer,no_boxed_answer,0.0,41,,0,,,356,112,False,char_length_heuristic,"To find out how much Alexis paid for the shoes, we start by calculating the total amount she spent on all the other items:  - Button-up shirt: $30   - Suit pants: $46   - Suit coat: $38   - Socks: $11   - Belt: $18    Total spent on these items:   $30 + $46 + $38 + $11 + $18 = $143  Alexis had a budget of $200 and has $16 left, so she spent:   $200 - $16"
71,gsm8k-train-000008,8,6,final_answer_unboxed,no_boxed_answer,0.0,41,,0,,,374,117,False,char_length_heuristic,"To find out how much Alexis paid for the shoes, we start by calculating the total amount she spent on all the other items:  - Button-up shirt: $30   - Suit pants: $46   - Suit coat: $38   - Socks: $11   - Belt: $18    Total spent on these items:   $30 + $46 + $38 + $11 + $18 = $143    Alexis had a budget of $200 and has $16 left. So the amount she spent in total is:   $20"
73,gsm8k-train-000009,9,0,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,334,105,False,char_length_heuristic,"Tina earns $18.00 per hour. For overtime, she is paid at 1.5 times her regular wage.  She works 10 hours per day for 5 days:  - Regular hours per day: 8 hours   - Overtime hours per day: 10 - 8 = 2 hours   - Overtime pay rate: $18.00 × 1.5 = $27.00 per hour    Total earnings:  - Regular pay: $18.00 × 8 × 5 = $720.00   - Overtime pay"
74,gsm8k-train-000009,9,1,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,341,107,False,char_length_heuristic,"Tina's regular pay is $18.00 per hour. For overtime, she earns 1.5 times her regular hourly wage:  $$ 18 + \frac{1}{2} \times 18 = 18 + 9 = 27 \text{ dollars per hour} $$  She works 10 hours per day for 5 days, so:  - 10 hours per day × 5 days = 50 hours total - 8 hours are regular pay, so 50 - 8 = 42 hours of overtime  Total earnings:  $$"
75,gsm8k-train-000009,9,2,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,346,109,False,char_length_heuristic,"Tina earns $18.00 per hour. For hours over 8, she gets overtime at 1.5 times her regular wage.  She works 10 hours per day for 5 days:   Total hours = $10 \times 5 = 50$ hours.  For the first 8 hours each day, she earns $18.00/hour.   For the remaining 2 hours each day, she earns $18.00 \times 1.5 = 27.00/hour.  Daily earnings:   $ (8 \times 18"
76,gsm8k-train-000009,9,3,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,265,83,False,char_length_heuristic,Tina's regular pay is $18.00 per hour.   Overtime pay is $18.00 + ($18.00 × 1/2) = $18.00 + $9.00 = $27.00 per hour.  She works 10 hours per day for 5 days:   - 8 hours are regular pay: $18.00 × 8 = $144.00   - 2 hours are overtime: $27.00 × 2 = $54.00    Total for
77,gsm8k-train-000009,9,4,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,365,115,False,char_length_heuristic,"Tina's regular pay is $18.00 per hour. For overtime, she is paid at 1.5 times her regular wage:  $$ 18 + \frac{1}{2} \times 18 = 18 + 9 = 27 \text{ dollars per hour} $$  She works 10 hours per day for 5 days. Of those 10 hours, the first 8 are regular pay, and the remaining 2 hours are overtime.  Total regular hours: $8 \times 5 = 40$   Total overtime hours: $2 \"
78,gsm8k-train-000009,9,5,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,278,87,False,char_length_heuristic,Tina's regular pay is $18.00 per hour.   Overtime pay is $18.00 + (1/2 × $18.00) = $27.00 per hour.  She works 10 hours per day for 5 days:   - 8 hours at regular pay: $18.00 × 8 = $144.00 per day   - 2 hours at overtime pay: $27.00 × 2 = $54.00 per day    Total per day: $144.0
79,gsm8k-train-000009,9,6,no_boxed_answer,no_boxed_answer,0.0,990,,0,,,319,100,False,char_length_heuristic,"Tina's regular pay is $18.00 per hour. For overtime, she earns 1.5 times her hourly wage:  $$ 18.00 + \frac{1}{2} \times 18.00 = 27.00 \text{ per hour} $$  She works 10 hours per day for 5 days. Of those, 8 hours are regular pay, and 2 hours are overtime per day:  $$ \text{Daily pay} = (8 \times 18.00) + (2 \times 27."
80,gsm8k-train-000009,9,7,final_answer_unboxed,no_boxed_answer,0.0,990,,0,,,306,96,False,char_length_heuristic,"Tina's hourly wage is $18.00.   Overtime is paid at 1.5 times the hourly wage, so $18.00 × 1.5 = $27.00 per hour for overtime.  She works 10 hours per day for 5 days:   - 8 hours are regular pay.   - 2 hours are overtime.  Daily earnings:   - Regular: 8 × $18.00 = $144.00   - Overtime: 2 × $27.00 = $54.00"
81,gsm8k-train-000010,10,0,truncated_before_final,no_boxed_answer,0.0,121,,0,,,405,127,True,char_length_heuristic,"We are told that a deep-sea monster eats a ship every 100 years, and over 300 years (i.e., 3 times), it has eaten 847 people. Each ship has **twice as many people as the previous one**.  Let the number of people on the first ship be $ x $.  Then, the second ship has $ 2x $ people, and the third ship has $ 4x $ people.  The total number of people eaten is:  $$ x + 2x + 4x = 7x $$  We are told this total"
82,gsm8k-train-000010,10,1,truncated_before_final,no_boxed_answer,0.0,121,,0,,,390,122,True,char_length_heuristic,"We are told that a deep-sea monster eats a ship every 100 years, and over 300 years, it has eaten 847 people. Each new ship has **twice as many people as the last**.  Let the number of people on the first ship be $ x $. Then:  - First ship: $ x $ - Second ship: $ 2x $ - Third ship: $ 4x $  Total number of people eaten over 300 years:  $$ x + 2x + 4x = 7x $$  We are told that the total is"
83,gsm8k-train-000010,10,2,truncated_before_final,no_boxed_answer,0.0,121,,0,,,385,121,True,char_length_heuristic,"We are given that a monster eats a ship every 100 years, and over 300 years (3 times), it has consumed 847 people. Each ship has twice as many people as the previous one.  Let the number of people on the first ship be $ x $. Then:  - First ship: $ x $ - Second ship: $ 2x $ - Third ship: $ 4x $  Total number of people:   $$ x + 2x + 4x = 7x $$  We are told this total is 847:  $$ 7x ="
84,gsm8k-train-000010,10,3,no_boxed_answer,no_boxed_answer,0.0,121,,0,,,379,119,False,char_length_heuristic,"Let $ x $ be the number of people on the first ship.  Since each new ship has twice as many people as the last, the number of people on the ships over three hundred years (three ships) is:  - First ship: $ x $ - Second ship: $ 2x $ - Third ship: $ 4x $  Total number of people eaten:   $$ x + 2x + 4x = 7x $$  We are given that the total is 847:  $$ 7x = 847 $$  $$ x = \frac{847"
85,gsm8k-train-000010,10,4,truncated_before_final,malformed_boxed_answer,0.0,121,,0,,,399,125,True,char_length_heuristic,"Let $ x $ be the number of people on the first ship.  Since each new ship has twice as many people as the last, the number of people on the ships over three hundred years is:  $$ x + 2x + 4x = 7x $$  We are told that the total number of people consumed is 847:  $$ 7x = 847 $$  $$ x = \frac{847}{7} = 121 $$  The number of people on the ship the monster ate in the first hundred years is:  $$ \boxed"
87,gsm8k-train-000010,10,6,truncated_before_final,no_boxed_answer,0.0,121,,0,,,388,122,True,char_length_heuristic,"Let $ x $ be the number of people on the first ship.  Since each new ship has twice as many people as the last, the number of people on the ships over three hundred years is:  - First hundred years: $ x $ - Second hundred years: $ 2x $ - Third hundred years: $ 4x $  Total people consumed:   $$ x + 2x + 4x = 7x $$  We are told that the total is 847:  $$ 7x = 847 $$  $$ x = \frac{847}{7}"
88,gsm8k-train-000010,10,7,truncated_before_final,no_boxed_answer,0.0,121,,0,,,438,137,True,char_length_heuristic,"We are given that a deep-sea monster eats a ship every 100 years, and over 300 years, it has eaten 847 people. Each ship has twice as many people as the previous one.  This is a geometric sequence where:  - The first term is $ a $ (number of people on the first ship), - The common ratio is 2, - There are 3 terms (since 300 years / 100 years per ship = 3 ships), - The sum of the three terms is 847.  The sum of a geometric series with 3"
89,gsm8k-train-000011,11,0,truncated_before_final,no_boxed_answer,0.0,5,,0,,,389,122,True,char_length_heuristic,Let's break down the problem step by step.  - **Cost of shoes:** $95   - **Allowance per month:** $5   - **Mowing a lawn:** $15   - **Shoveling a driveway:** $7   - **Total money after buying shoes:** $15   - **Number of lawns mowed:** 4    Let $ x $ be the number of driveways he shoveled.  Total money earned:  - From allowance: $ 3 \times 5 = 15 $ - From mowing lawns: $ 4 \times 15 = 6
